"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","B365H","B365D","B365A","GBH","GBD","GBA","IWH","IWD","IWA","SBH","SBD","SBA","WHH","WHD","WHA","GB.2.5","GB.2.5.1","GBAHH","GBAHA","GBAH","X","X.1","X.2","X.3","X.4","X.5"
"60","SP2","27/09/03","Eibar","Las Palmas",1,1,"D",0,0,"D",2.2,2.75,3.25,2.3,2.7,3.05,2.1,2.7,3.1,2.2,2.7,3.3,2.2,2.7,3.2,2.1,1.56,2.02,1.72,-0.25,NA,NA,NA,NA,NA,NA
"61","","","","",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","SP2","27/09/03","Elche","Terrassa",2,3,"A",2,2,"D",1.9,2.87,4,1.95,2.8,3.75,1.85,2.7,3.6,1.9,2.75,4.2,1.9,2.75,4,1.95,1.66,1.95,1.75,-0.5,NA,NA,NA,NA,NA,NA
"63","","","","",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","SP2","27/09/03","Getafe","Alaves",0,0,"D",0,0,"D",2.2,2.7,3.3,2.25,2.75,3.05,2.3,2.7,2.7,2.2,2.75,3.25,1.95,2.75,3.85,2.1,1.56,2,1.77,-0.25,NA,NA,NA,NA,NA,NA
"65","","","","",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","SP2","27/09/03","Leganes","Poli Ejido",0,0,"D",0,0,"D",2,2.8,3.75,2.05,2.8,3.55,1.9,2.7,3.5,2.1,2.75,3.5,2,2.7,3.75,2.2,1.51,1.77,2,-0.25,NA,NA,NA,NA,NA,NA
"67","","","","",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","SP2","27/09/03","Numancia","Xerez",0,0,"D",0,0,"D",2.25,2.7,3.2,2.2,2.7,3.25,2.2,2.7,2.9,2.2,2.7,3.3,2.05,2.7,3.6,2.1,1.56,1.9,1.8,-0.25,NA,NA,NA,NA,NA,NA
"69","","","","",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
