"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","GBH","GBD","GBA","IWH","IWD","IWA","LBH","LBD","LBA","SBH","SBD","SBA","SYH","SYD","SYA","WHH","WHD","WHA"
"65","I1","27/10/01","Roma","Lazio",2,0,"H",0,0,"D",2.2,3,3.05,2.1,2.9,3.2,NA,NA,NA,2.2,3.1,2.9,2.2,3,3,2.2,2.87,3.1
"66","I1","28/10/01","Brescia","Venezia",3,2,"H",0,0,"D",1.63,3.2,5.25,1.55,3.4,5,1.67,3.2,5,1.67,3.2,4.75,1.57,3.25,5.5,1.66,3.1,5
"67","I1","28/10/01","Chievo","Torino",3,0,"H",1,0,"H",1.68,3.15,4.9,1.8,3,4,1.73,3.2,4.33,1.73,3.1,4.5,1.73,3.2,4.33,1.66,2.9,5.5
"68","I1","28/10/01","Lecce","Atalanta",0,2,"A",0,1,"A",1.83,3.05,4.15,1.85,3,3.8,1.73,2.87,5,1.83,3.1,4,1.83,2.88,4.33,1.8,2.9,4.5
"69","I1","28/10/01","Milan","Bologna",0,0,"D",0,0,"D",1.45,3.6,6.5,1.4,3.7,6.4,1.4,3.75,7,1.44,3.6,6.5,1.4,3.75,7,1.44,3.5,7
"70","I1","28/10/01","Parma","Verona",2,2,"D",1,2,"A",1.6,3.25,5.4,1.6,3.2,5,1.61,3.25,5,1.6,3.3,5,1.57,3.25,5.5,1.61,3.1,5.5
"71","I1","28/10/01","Perugia","Piacenza",1,0,"H",0,0,"D",1.93,3,3.75,1.85,3,3.8,1.91,3,3.75,1.85,3.1,3.8,2,2.8,3.75,1.9,2.87,4
"72","I1","28/10/01","Udinese","Fiorentina",1,2,"A",1,0,"H",1.68,3.5,4.2,1.85,3,3.8,1.8,3.2,4,1.8,3.1,4.2,1.8,3.1,4,1.72,3.25,4.2
"73","I1","03/11/01","Venezia","Chievo",0,0,"D",0,0,"D",2.7,3,2.3,2.6,2.8,2.6,NA,NA,NA,2.75,3,2.4,2.75,2.88,2.4,2.75,2.9,2.4
"74","I1","04/11/01","Atalanta","Roma",1,1,"D",0,0,"D",3.65,3.05,1.95,3.4,2.9,2,3.75,3,1.91,3.4,3.1,2,3.75,3,1.91,3.6,2.87,2
"75","I1","04/11/01","Bologna","Fiorentina",3,2,"H",3,2,"H",1.7,3.2,4.65,1.8,3.1,3.8,1.73,2.87,5,1.73,3.1,4.6,1.73,3.2,4.33,1.72,3.1,4.5
"76","I1","04/11/01","Inter","Lecce",2,0,"H",2,0,"H",1.3,4.35,8.5,1.35,4,7,1.25,4.5,10,1.3,4.33,8.5,1.29,4.33,8.5,1.28,4.33,8.5
"77","I1","04/11/01","Lazio","Brescia",5,0,"H",3,0,"H",1.5,3.55,6,1.65,3.2,4.6,1.53,3.25,6,1.57,3.3,5.6,1.53,3.25,6,1.61,3.1,5.5
"78","I1","04/11/01","Parma","Perugia",2,1,"H",1,0,"H",1.6,3.3,5.3,1.55,3.4,5,1.61,3.2,5.5,1.62,3.25,5.25,1.62,3.1,5.5,1.61,3.1,5.5
"79","I1","04/11/01","Piacenza","Udinese",1,2,"A",0,1,"A",2.2,2.9,3.15,2.1,2.9,3.2,2.2,3.2,2.8,2.2,2.88,3.2,2.2,2.8,3.2,2.2,3,3
"80","I1","04/11/01","Torino","Milan",1,0,"H",1,0,"H",3.3,3.1,2.05,3.6,3,1.9,3.4,2.8,2.1,3.3,3.1,2.05,3.2,3,2.1,3.5,2.75,2.1
"81","I1","04/11/01","Verona","Juventus",2,2,"D",1,0,"H",3.75,3.1,1.91,3.2,2.9,2.1,4,2.87,1.91,3.75,3,1.91,3.75,3,1.91,3.6,2.87,2
"82","I1","17/11/01","Roma","Inter",0,0,"D",0,0,"D",1.91,3,3.8,2,2.9,3.4,NA,NA,NA,2.05,2.88,3.5,1.91,3,3.75,2.1,2.75,3.5
"83","I1","18/11/01","Atalanta","Venezia",1,0,"H",1,0,"H",1.65,3.25,5,1.7,3.2,4.2,NA,NA,NA,1.67,3.1,5,1.73,3.1,4.5,1.66,3.1,5
"84","I1","18/11/01","Fiorentina","Torino",0,0,"D",0,0,"D",2.02,2.9,3.4,1.9,3,3.6,NA,NA,NA,1.8,3.1,4,1.83,3,4,2,2.87,3.6
"85","I1","18/11/01","Juventus","Parma",3,1,"H",1,1,"D",1.55,3.3,6,1.6,3.3,4.8,NA,NA,NA,1.6,3.2,5.5,1.53,3.25,6,1.61,3.25,5
"86","I1","18/11/01","Lecce","Bologna",1,0,"H",1,0,"H",2.35,2.8,3,2.3,2.8,2.9,NA,NA,NA,2.4,2.88,2.8,2.38,2.8,2.88,2.37,2.8,2.87
"87","I1","18/11/01","Milan","Piacenza",0,0,"D",0,0,"D",1.3,4.4,8.5,1.3,4.2,8,NA,NA,NA,1.29,4.33,8.5,1.25,4.5,10,1.28,4.5,8
"88","I1","18/11/01","Perugia","Brescia",1,1,"D",1,1,"D",2.15,2.9,3.27,1.9,3,3.6,NA,NA,NA,2.2,2.9,3.1,2.1,2.8,3.4,2.1,2.87,3.3
"89","I1","18/11/01","Udinese","Lazio",1,4,"A",0,0,"D",2.85,3,2.32,2.8,2.9,2.3,NA,NA,NA,2.7,2.88,2.5,2.8,2.88,2.38,2.7,2.8,2.5
"90","I1","18/11/01","Verona","Chievo",3,2,"H",1,2,"A",2.55,2.8,2.75,2.1,2.9,3.2,NA,NA,NA,2.4,2.88,2.75,2.5,2.8,2.75,2.5,2.75,2.75
"91","I1","24/11/01","Lazio","Juventus",1,0,"H",0,0,"D",NA,NA,NA,2.2,2.9,3,NA,NA,NA,2.5,2.75,3,2.38,2.8,2.88,2.4,2.75,2.9
"92","I1","25/11/01","Bologna","Roma",1,3,"A",1,3,"A",2.85,2.9,2.4,2.6,2.8,2.6,NA,NA,NA,2.88,2.88,2.38,2.9,2.88,2.3,2.9,2.62,2.5
"93","I1","25/11/01","Brescia","Udinese",2,0,"H",2,0,"H",2.1,2.95,3.3,2.1,2.9,3.2,NA,NA,NA,2.1,3,3.25,2.1,3,3.2,2.1,3,3.2
"94","I1","25/11/01","Chievo","Perugia",2,0,"H",1,0,"H",1.68,3.1,5.1,1.8,3.1,3.8,NA,NA,NA,1.7,3.2,4.6,1.67,3.1,5,1.66,3.1,5
"95","I1","25/11/01","Inter","Fiorentina",2,0,"H",1,0,"H",1.34,4,8,1.45,3.8,5.4,NA,NA,NA,1.4,3.75,7,1.36,4,7,1.33,4,8
"96","I1","25/11/01","Parma","Milan",0,1,"A",0,1,"A",2.5,2.85,2.75,2.3,2.8,2.9,NA,NA,NA,2.5,2.9,2.7,2.5,2.8,2.7,2.5,2.75,2.75
"97","I1","25/11/01","Piacenza","Atalanta",1,2,"A",1,0,"H",2.15,2.9,3.3,2.1,2.8,3.3,NA,NA,NA,2.2,3,3,2.2,2.8,3.2,2.2,2.7,3.3
"98","I1","25/11/01","Torino","Verona",5,1,"H",0,1,"A",2.15,2.9,3.3,2.1,2.8,3.3,NA,NA,NA,2.1,3,3.25,2.1,2.9,3.25,2.2,2.75,3.25
"99","I1","25/11/01","Venezia","Lecce",1,1,"D",0,0,"D",2.15,2.95,3.2,2.3,2.7,3,NA,NA,NA,2.2,2.88,3.2,2.25,2.88,3,2.25,2.75,3.2
"100","I1","01/12/01","Juventus","Perugia",2,0,"H",0,0,"D",1.27,4.6,9,1.3,4.2,8,1.3,4,10,1.3,4,9.5,1.29,4.33,8.5,1.25,4.5,10
"101","I1","02/12/01","Atalanta","Inter",2,4,"A",2,1,"H",3.2,2.9,2.17,3,2.9,2.2,3.2,2.8,2.2,3,2.9,2.25,3.3,2.88,2.1,3.25,2.75,2.2
"102","I1","02/12/01","Bologna","Torino",1,0,"H",1,0,"H",1.77,3.1,4.4,1.85,3,3.8,1.83,2.8,4.5,1.8,2.9,4.5,1.73,3.1,4.5,1.8,3.1,4
"103","I1","02/12/01","Fiorentina","Piacenza",1,3,"A",0,1,"A",1.85,3.05,4.15,1.8,3.1,3.8,1.8,2.87,4.5,1.8,3,4.2,1.8,3,4.33,1.83,2.87,4.33
"104","I1","02/12/01","Lecce","Lazio",1,2,"A",0,0,"D",3.4,3,2.05,3.2,2.9,2.1,3,3,2.2,3.2,3,2.1,3.6,2.88,2,3.25,2.75,2.2
"105","I1","02/12/01","Milan","Chievo",3,2,"H",1,2,"A",1.55,3.4,5.6,1.55,3.4,5,1.53,3.5,5.5,1.5,3.5,6,1.53,3.4,5.5,1.5,3.25,6.5
"106","I1","02/12/01","Roma","Venezia",1,0,"H",0,0,"D",1.19,5.5,11,1.2,5,10,1.2,5,11,1.22,5,10,1.17,5.5,12,1.16,5,15
"107","I1","02/12/01","Udinese","Parma",3,2,"H",2,2,"D",2.4,2.9,2.9,2.3,2.9,2.8,2.37,2.87,2.8,2.4,2.88,2.8,2.4,2.88,2.75,2.37,2.9,2.8
"108","I1","02/12/01","Verona","Brescia",2,0,"H",1,0,"H",2.1,2.9,3.4,2,2.9,3.4,2,3,3.4,2.1,2.9,3.3,2.1,2.88,3.3,2.1,2.75,3.5
