"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","GBH","GBD","GBA","IWH","IWD","IWA","SYH","SYD","SYA","WHH","WHD","WHA"
"171","SP2","25/11/01","Badajoz","Jaen",1,0,"H",1,0,"H",2.22,2.85,3,2.2,2.8,2.8,NA,NA,NA,2.2,2.85,3
"172","SP2","25/11/01","Levante","Xerez",0,1,"A",0,0,"D",2.7,2.8,2.45,2.7,2.6,2.4,NA,NA,NA,2.75,2.7,2.5
"173","SP2","25/11/01","Murcia","Gimnastic",0,2,"A",0,1,"A",1.7,3,4.65,1.75,2.9,3.8,NA,NA,NA,1.8,3,4.1
"174","SP2","25/11/01","Numancia","Burgos",1,5,"A",1,3,"A",2.25,2.8,3,2.2,2.8,2.8,NA,NA,NA,2.25,2.85,2.9
"175","SP2","25/11/01","Salamanca","Leganes",1,0,"H",1,0,"H",1.8,2.85,4.35,1.8,2.8,3.7,NA,NA,NA,1.85,2.9,4
"176","SP2","25/11/01","Sp Gijon","Eibar",1,0,"H",1,0,"H",2.1,2.8,3.3,2.1,2.8,3,NA,NA,NA,2.1,2.8,3.3
"177","SP2","01/12/01","Jaen","Numancia",1,2,"A",0,2,"A",2.1,2.8,3.3,2,2.7,3.3,1.91,3,3.75,2,2.85,3.5
"178","SP2","01/12/01","Xerez","Poli Ejido",2,1,"H",1,0,"H",1.4,3.5,7.5,1.4,3.3,6.2,1.44,3.4,7,1.4,3.4,8
"179","SP2","02/12/01","Burgos","Albacete",0,0,"D",0,0,"D",2.1,2.8,3.3,2,2.8,3.1,2,2.88,3.6,2,2.85,3.5
"180","SP2","02/12/01","Eibar","Badajoz",0,1,"A",0,1,"A",1.95,2.8,3.8,2,2.7,3.3,2,2.8,3.75,2.1,2.75,3.4
"181","SP2","02/12/01","Extremadura","Elche",1,0,"H",1,0,"H",2.3,2.6,3.2,2.3,2.7,2.7,2.2,2.88,3.1,2.3,2.7,3
"182","SP2","02/12/01","Gimnastic","Ath Madrid",1,2,"A",0,0,"D",3.9,3,1.85,3.5,2.8,1.85,4,3,1.83,3.6,3,1.9
"183","SP2","02/12/01","Leganes","Recreativo",0,0,"D",0,0,"D",2.55,2.6,2.8,2.4,2.6,2.7,2.5,2.8,2.7,2.5,2.75,2.7
"184","SP2","02/12/01","Levante","Salamanca",2,2,"D",0,0,"D",2.65,2.6,2.75,2.4,2.7,2.6,2.6,2.8,2.6,2.4,2.8,2.75
"185","SP2","02/12/01","Oviedo","Murcia",2,0,"H",1,0,"H",1.7,2.9,5,1.7,2.9,4,1.73,3.1,4.5,1.7,2.9,5
"186","SP2","02/12/01","Ferrol","Sp Gijon",1,2,"A",1,2,"A",1.9,2.8,4,1.9,2.8,3.4,1.91,3,3.75,1.9,2.9,3.75
"187","SP2","02/12/01","Santander","Cordoba",2,0,"H",1,0,"H",1.7,2.9,5,1.65,2.9,4.4,1.73,3.1,4.5,1.65,3.1,4.8
"188","SP2","08/12/01","Cordoba","Burgos",1,1,"D",0,0,"D",2.5,2.7,2.8,2.4,2.7,2.6,2.5,2.75,2.75,2.5,2.7,2.75
"189","SP2","08/12/01","Elche","Santander",1,1,"D",0,0,"D",2.2,2.8,3.15,2.3,2.7,2.7,2.3,2.88,2.88,2.4,2.75,2.8
"190","SP2","09/12/01","Albacete","Jaen",4,0,"H",0,0,"D",2.05,2.8,3.55,2.1,2.8,3,2,3,3.4,2.1,2.9,3.2
"191","SP2","09/12/01","Ath Madrid","Oviedo",0,0,"D",0,0,"D",1.62,3.2,5.1,1.65,2.9,4.4,1.67,3.1,5,1.7,3.1,4.5
"192","SP2","09/12/01","Badajoz","Ferrol",2,1,"H",1,0,"H",2,2.8,3.7,2,2.8,3.1,2,2.8,3.75,2,2.85,3.5
"193","SP2","09/12/01","Poli Ejido","Gimnastic",1,0,"H",0,0,"D",2.5,2.7,2.8,2.4,2.7,2.6,2.5,2.75,2.75,2.5,2.7,2.75
"194","SP2","09/12/01","Murcia","Extremadura",2,1,"H",2,0,"H",1.98,2.8,3.75,2,2.7,3.3,1.91,2.88,4,2,2.85,3.5
"195","SP2","09/12/01","Numancia","Eibar",1,1,"D",0,0,"D",2,2.8,3.7,1.9,2.7,3.5,1.91,2.88,4,1.85,3,3.8
"196","SP2","09/12/01","Recreativo","Levante",0,0,"D",0,0,"D",1.55,3.25,5.75,1.55,3,5,1.5,3.4,6,1.5,3.3,6
"197","SP2","09/12/01","Salamanca","Xerez",1,1,"D",1,1,"D",2.4,2.65,3,2.3,2.8,2.6,2.25,2.8,3.1,2.4,2.75,2.8
"198","SP2","09/12/01","Sp Gijon","Leganes",1,1,"D",1,1,"D",1.8,3,4.25,1.8,2.8,3.7,1.8,3,4.33,1.75,3,4.3
"199","SP2","15/12/01","Levante","Sp Gijon",4,3,"H",0,2,"A",2.45,2.8,2.75,2.4,2.7,2.6,2.4,2.8,2.8,2.6,2.7,2.6
"200","SP2","15/12/01","Xerez","Gimnastic",2,1,"H",2,0,"H",1.5,3.3,6.3,1.45,3.2,5.7,1.44,3.5,7,1.4,3.4,7.5
"201","SP2","16/12/01","Burgos","Elche",0,0,"D",0,0,"D",1.95,2.9,3.7,2,2.8,3.1,1.91,3,3.75,1.9,3,3.6
"202","SP2","16/12/01","Eibar","Albacete",1,0,"H",0,0,"D",2.25,2.8,3.05,2.2,2.7,2.9,2.2,2.8,3.2,2.25,2.75,3
"203","SP2","16/12/01","Extremadura","Ath Madrid",2,0,"H",1,0,"H",3.7,2.8,2,3.2,2.9,1.9,3.6,2.88,2,3.75,2.9,1.9
"204","SP2","16/12/01","Jaen","Cordoba",1,2,"A",1,0,"H",2,2.8,3.7,2,2.7,3.3,2.1,2.88,3.3,2,2.8,3.5
"205","SP2","16/12/01","Leganes","Badajoz",1,0,"H",0,0,"D",2.35,2.8,2.9,2.4,2.7,2.6,2.38,2.88,2.8,2.5,2.7,2.7
"206","SP2","16/12/01","Oviedo","Poli Ejido",1,1,"D",0,0,"D",1.4,3.6,7.3,1.4,3.4,6,1.4,3.6,7.5,1.4,3.6,7
"207","SP2","16/12/01","Ferrol","Numancia",2,1,"H",1,1,"D",NA,NA,NA,NA,NA,NA,1.91,3.1,3.6,NA,NA,NA
"208","SP2","16/12/01","Santander","Murcia",1,0,"H",1,0,"H",1.65,3.1,5,1.65,2.9,4.4,1.67,3.1,5,1.6,3.2,5
"209","SP2","16/12/01","Salamanca","Recreativo",2,3,"A",1,1,"D",2.2,2.8,3.15,2.2,2.7,2.9,2.1,2.8,3.4,2.1,2.8,3.25
"210","SP2","22/12/01","Albacete","Ferrol",2,1,"H",1,1,"D",1.95,2.75,4,1.9,2.8,3.4,1.83,3,4,1.9,2.85,3.85
"211","SP2","22/12/01","Ath Madrid","Santander",2,0,"H",0,0,"D",1.65,3.1,5,1.65,3,4.2,1.67,3.1,5,1.7,3.1,4.5
"212","SP2","23/12/01","Badajoz","Levante",2,2,"D",0,1,"A",1.7,3,4.8,1.65,2.9,4.4,1.67,3.1,5,1.65,3,5
"213","SP2","23/12/01","Cordoba","Eibar",0,2,"A",0,1,"A",2.05,2.75,3.6,2,2.7,3.3,2.1,2.8,3.4,2,2.8,3.6
"214","SP2","22/12/01","Poli Ejido","Extremadura",0,0,"D",0,0,"D",2.55,2.65,2.8,2.4,2.7,2.6,2.5,2.75,2.75,2.35,2.75,2.85
"215","SP2","22/12/01","Elche","Jaen",1,3,"A",1,1,"D",1.9,2.85,4,2,2.7,3.3,1.91,2.88,4,2,2.75,3.7
"216","SP2","23/12/01","Gimnastic","Oviedo",1,0,"H",0,0,"D",3.05,2.8,2.25,2.9,2.7,2.2,3,2.88,2.25,3.1,2.85,2.15
"217","SP2","22/12/01","Murcia","Burgos",1,2,"A",0,2,"A",2.4,2.7,2.95,2.4,2.7,2.6,2.3,2.8,3,2.4,2.7,2.85
"218","SP2","22/12/01","Numancia","Leganes",1,0,"H",0,0,"D",2,2.8,3.7,2,2.7,3.3,2,2.8,3.75,1.95,2.8,3.75
"219","SP2","23/12/01","Sp Gijon","Salamanca",1,1,"D",1,1,"D",2.2,2.75,3.25,2.2,2.7,2.9,2.2,2.88,3.1,2.2,2.8,3.1
"220","SP2","23/12/01","Xerez","Recreativo",0,0,"D",0,0,"D",1.95,2.75,3.95,1.9,2.8,3.4,1.83,3,4,1.9,2.85,3.85
"221","SP2","05/01/02","Oviedo","Xerez",1,0,"H",0,0,"D",1.85,3.1,3.75,2.2,2.8,2.8,2.1,2.88,3.3,2.25,2.75,3.05
"222","SP2","05/01/02","Santander","Poli Ejido",2,1,"H",1,1,"D",1.35,3.8,8,1.35,3.5,7,1.4,3.6,7.5,1.35,3.8,7.5
"223","SP2","06/01/02","Burgos","Ath Madrid",0,4,"A",0,1,"A",3.1,2.75,2.25,2.8,2.8,2.2,3,2.88,2.25,2.8,2.75,2.4
"224","SP2","06/01/02","Eibar","Elche",3,1,"H",0,0,"D",1.95,2.8,3.9,2,2.8,3.1,1.91,3,3.75,2,2.8,3.6
"225","SP2","06/01/02","Extremadura","Gimnastic",1,0,"H",0,0,"D",1.8,2.9,4.4,1.8,2.9,3.6,1.8,3.1,4,1.85,2.9,4
"226","SP2","06/01/02","Jaen","Murcia",0,0,"D",0,0,"D",2.1,2.8,3.45,2,2.8,3.1,1.91,3,3.75,2.05,2.8,3.4
"227","SP2","06/01/02","Leganes","Albacete",1,2,"A",1,1,"D",2.3,2.8,3,2.4,2.7,2.6,2.3,2.88,2.9,2.45,2.75,2.75
"228","SP2","06/01/02","Levante","Numancia",0,1,"A",0,0,"D",2.4,2.75,2.9,2.3,2.7,2.7,2.25,2.8,3.1,2.45,2.7,2.8
"229","SP2","06/01/02","Ferrol","Cordoba",1,3,"A",0,0,"D",1.85,2.8,4.3,1.8,2.9,3.6,1.8,3.1,4,1.85,2.85,4.1
"230","SP2","06/01/02","Recreativo","Sp Gijon",0,0,"D",0,0,"D",1.9,2.8,4.1,1.8,2.9,3.6,NA,NA,NA,1.8,3,4
"231","SP2","06/01/02","Salamanca","Badajoz",2,2,"D",2,1,"H",2.15,2.75,3.35,2,2.8,3.1,2.1,2.88,3.3,2.05,2.75,3.5
"232","SP2","12/01/02","Ferrol","Elche",1,0,"H",0,0,"D",1.9,2.8,3.95,2,2.7,3.3,1.91,2.88,4,2,2.7,3.8
"233","SP2","12/01/02","Recreativo","Badajoz",2,0,"H",1,0,"H",1.98,2.8,3.65,2.1,2.7,3.1,2,2.88,3.6,2,2.7,3.8
"234","SP2","13/01/02","Burgos","Poli Ejido",2,0,"H",1,0,"H",1.4,3.75,6.5,1.45,3.3,5.5,1.44,3.6,6.5,1.5,3.4,5.75
"235","SP2","13/01/02","Eibar","Murcia",0,1,"A",0,1,"A",1.7,3,4.65,1.7,2.9,4,1.73,3.1,4.5,1.65,3,5
"236","SP2","13/01/02","Extremadura","Oviedo",1,1,"D",1,0,"H",2.52,2.7,2.7,2.4,2.7,2.6,2.38,2.88,2.8,2.4,2.75,2.85
"237","SP2","13/01/02","Jaen","Ath Madrid",1,0,"H",1,0,"H",3.7,3.1,1.75,3.6,2.9,1.8,3.75,3,1.91,4.5,2.9,1.8
"238","SP2","13/01/02","Leganes","Cordoba",1,1,"D",0,1,"A",1.98,2.85,3.6,2.1,2.8,3,2.1,2.9,3.25,2.1,2.9,3.2
"239","SP2","13/01/02","Levante","Albacete",1,1,"D",0,1,"A",2.5,2.7,2.75,2.5,2.6,2.6,2.62,2.7,2.7,2.5,2.75,2.7
"240","SP2","13/01/02","Santander","Gimnastic",3,0,"H",1,0,"H",1.38,3.55,7.7,1.4,3.4,6,1.44,3.6,6.5,1.4,3.6,7
"241","SP2","13/01/02","Salamanca","Numancia",2,0,"H",0,0,"D",2.05,2.8,3.45,2.1,2.8,3,2.1,2.88,3.3,2.15,2.85,3.15
"242","SP2","13/01/02","Sp Gijon","Xerez",0,1,"A",0,0,"D",2.62,2.65,2.65,2.5,2.6,2.6,2.3,2.8,3,2.6,2.7,2.65
"243","SP2","19/01/02","Ath Madrid","Eibar",1,0,"H",0,0,"D",1.4,3.75,6.45,1.4,3.4,6,1.44,3.6,6.5,1.4,3.8,6.5
"244","SP2","19/01/02","Gimnastic","Burgos",0,0,"D",0,0,"D",2.92,2.75,2.32,2.7,2.7,2.3,2.75,2.88,2.4,3.2,2.7,2.2
"245","SP2","19/01/02","Xerez","Extremadura",1,2,"A",0,1,"A",1.62,3.1,5.1,1.6,3,4.6,1.57,3.25,5.5,1.6,3,5.5
"246","SP2","20/01/02","Albacete","Salamanca",0,1,"A",0,0,"D",1.98,2.8,3.65,1.9,2.8,3.4,1.91,3,3.75,1.9,2.9,3.8
"247","SP2","20/01/02","Badajoz","Sp Gijon",1,2,"A",1,1,"D",2.12,2.75,3.32,2,2.8,3.1,2,2.88,3.6,1.9,2.8,4
"248","SP2","20/01/02","Cordoba","Levante",3,1,"H",0,1,"A",1.88,2.85,3.95,1.85,2.8,3.5,1.83,2.88,4.33,1.8,2.9,4.2
"249","SP2","20/01/02","Poli Ejido","Jaen",1,0,"H",1,0,"H",2.82,2.8,2.35,2.7,2.7,2.3,2.7,2.8,2.5,2.3,2.7,3
"250","SP2","20/01/02","Elche","Leganes",1,0,"H",1,0,"H",1.98,2.8,3.65,2,2.8,3.1,1.91,2.88,4,1.95,2.9,3.6
"251","SP2","20/01/02","Murcia","Ferrol",1,2,"A",1,0,"H",2.2,2.8,3.1,2.2,2.7,2.9,2.2,2.8,3.2,2.15,2.8,3.2
"252","SP2","20/01/02","Numancia","Recreativo",0,0,"D",0,0,"D",2.4,2.75,2.8,2.3,2.7,2.7,2.3,2.7,3.1,2.25,2.7,3.1
"253","SP2","20/01/02","Oviedo","Santander",0,0,"D",0,0,"D",2.08,2.75,3.42,2.2,2.7,2.9,2.2,2.75,3.25,2.2,2.7,3.2
"254","SP2","26/01/02","Levante","Elche",1,1,"D",1,0,"H",2.1,2.8,3.3,2.1,2.8,3,2.2,2.8,3.2,2.1,2.9,3.15
"255","SP2","26/01/02","Ferrol","Ath Madrid",1,1,"D",1,1,"D",2.9,2.9,2.25,2.8,2.8,2.2,3.2,3,2.1,2.9,2.9,2.25
"256","SP2","27/01/02","Badajoz","Xerez",1,0,"H",0,0,"D",2.37,2.8,2.8,2.4,2.7,2.6,2.375,2.8,2.875,2.4,2.8,2.8
"257","SP2","27/01/02","Burgos","Oviedo",1,1,"D",0,1,"A",2.35,2.75,2.9,2.3,2.7,2.7,2.3,2.8,3,2.25,2.8,3
"258","SP2","27/01/02","Eibar","Poli Ejido",4,2,"H",1,0,"H",1.47,3.45,6.1,1.45,3.3,5.5,1.444,3.5,7,1.5,3.3,6
"259","SP2","27/01/02","Jaen","Gimnastic",0,1,"A",0,1,"A",1.75,2.85,4.7,1.7,2.9,4,1.727,3.1,4.5,1.75,3,4.4
"260","SP2","27/01/02","Leganes","Murcia",0,0,"D",0,0,"D",2.1,2.8,3.3,2.1,2.8,3,2,2.875,3.6,2.05,2.85,3.4
"261","SP2","27/01/02","Santander","Extremadura",1,1,"D",1,0,"H",1.6,3,5.65,1.6,3,4.6,1.667,3.1,5,1.55,3.1,6
"262","SP2","27/01/02","Recreativo","Albacete",3,1,"H",1,0,"H",2.05,2.8,3.45,2.1,2.8,3,2,2.875,3.6,2.1,2.8,3.3
"263","SP2","27/01/02","Salamanca","Cordoba",0,0,"D",0,0,"D",1.9,2.75,4.1,1.9,2.8,3.4,1.8,3,4.333,1.9,2.8,4
"264","SP2","27/01/02","Sp Gijon","Numancia",2,1,"H",2,0,"H",2.2,2.7,3.25,2.2,2.8,2.8,2.2,2.75,3.25,2.2,2.7,3.25
"265","SP2","02/02/02","Ath Madrid","Leganes",0,2,"A",0,0,"D",1.3,4.1,8.15,1.3,3.8,7.5,1.3,4.333,8,1.3,4,8.5
"266","SP2","02/02/02","Cordoba","Recreativo",0,0,"D",0,0,"D",2.4,2.65,2.92,2.4,2.6,2.7,NA,NA,NA,2.4,2.6,3
"267","SP2","02/02/02","Elche","Salamanca",4,1,"H",3,1,"H",2.32,2.75,2.92,2.3,2.7,2.7,2.3,2.75,3,2.3,2.7,3
"268","SP2","02/02/02","Extremadura","Burgos",2,0,"H",2,0,"H",2.3,2.75,2.98,2.2,2.8,2.8,2.2,2.875,3.1,2.3,2.7,3
"269","SP2","02/02/02","Murcia","Levante",0,1,"A",0,0,"D",1.85,2.85,4.1,1.75,2.8,4,1.833,2.875,4.333,1.9,2.7,4.2
"270","SP2","02/02/02","Numancia","Badajoz",1,2,"A",0,1,"A",2.02,2.75,3.6,2,2.6,3.4,1.909,2.8,4,2,2.8,3.6
"271","SP2","02/02/02","Oviedo","Jaen",0,0,"D",0,0,"D",1.75,2.9,4.55,1.7,2.8,4.3,1.727,2.875,5,1.8,2.8,4.5
"272","SP2","03/02/02","Albacete","Sp Gijon",1,2,"A",1,1,"D",1.95,2.85,3.7,1.9,2.7,3.5,1.909,2.8,4,2,2.75,3.7
"273","SP2","03/02/02","Poli Ejido","Ferrol",3,0,"H",1,0,"H",2.55,2.85,2.55,2.5,2.7,2.5,2.7,2.8,2.5,2.8,2.75,2.4
"274","SP2","03/02/02","Gimnastic","Eibar",1,0,"H",0,0,"D",2.25,2.8,3,2.4,2.7,2.6,2.5,2.8,2.7,NA,NA,NA
"275","SP2","03/02/02","Xerez","Santander",2,1,"H",1,0,"H",2.02,2.75,3.6,2,2.6,3.4,2.1,2.8,3.4,2,2.7,3.8
"276","SP2","06/02/02","Badajoz","Albacete",2,3,"A",2,0,"H",1.98,2.85,3.58,2,2.8,3.1,NA,NA,NA,2,2.75,3.7
"277","SP2","06/02/02","Burgos","Santander",0,0,"D",0,0,"D",2.28,2.8,2.95,2.3,2.7,2.7,NA,NA,NA,2.1,2.8,3.3
"278","SP2","06/02/02","Eibar","Oviedo",1,1,"D",0,1,"A",2.18,2.85,3.05,2.2,2.8,2.8,NA,NA,NA,2.2,2.75,3.15
"279","SP2","06/02/02","Jaen","Extremadura",1,0,"H",1,0,"H",2.22,2.8,3.05,2.2,2.8,2.8,NA,NA,NA,2.3,2.7,3
"280","SP2","06/02/02","Leganes","Poli Ejido",2,0,"H",0,0,"D",1.7,3.1,4.5,1.7,2.9,4,NA,NA,NA,1.75,2.9,4.6
"281","SP2","06/02/02","Numancia","Xerez",1,1,"D",1,0,"H",2.48,2.75,2.7,2.4,2.7,2.6,NA,NA,NA,2.65,2.65,2.65
"282","SP2","06/02/02","Ferrol","Gimnastic",1,2,"A",0,1,"A",1.7,3.05,4.52,1.6,3,4.6,NA,NA,NA,1.75,2.9,4.6
"283","SP2","06/02/02","Recreativo","Elche",1,0,"H",0,0,"D",1.68,3,4.8,1.65,2.9,4.4,NA,NA,NA,1.7,2.9,5
"284","SP2","06/02/02","Salamanca","Murcia",0,0,"D",0,0,"D",1.7,3.1,4.45,1.65,2.9,4.4,NA,NA,NA,1.7,2.9,5
"285","SP2","06/02/02","Sp Gijon","Cordoba",3,0,"H",2,0,"H",1.98,2.85,3.55,1.9,2.8,3.4,NA,NA,NA,2,2.9,3.5
"286","SP2","07/02/02","Levante","Ath Madrid",2,4,"A",1,1,"D",3.7,2.9,1.92,3.4,2.9,1.85,NA,NA,NA,3.7,3.1,1.85
"287","SP2","09/02/02","Oviedo","Ferrol",2,1,"H",0,1,"A",1.8,3.1,4,1.8,2.8,3.7,1.8,3,4.333,1.83,2.95,4
"288","SP2","09/02/02","Santander","Jaen",2,0,"H",0,0,"D",1.6,3.2,5.15,1.6,3,4.6,1.667,3.1,5,1.61,3,5.5
"289","SP2","10/02/02","Albacete","Numancia",3,1,"H",1,0,"H",1.85,2.9,4.1,1.9,2.8,3.4,1.833,3,4,2,2.85,3.5
"290","SP2","10/02/02","Ath Madrid","Salamanca",2,1,"H",1,0,"H",1.55,3.2,5.8,1.55,3.1,4.8,1.571,3,6,1.5,3.05,7
"291","SP2","10/02/02","Cordoba","Badajoz",1,2,"A",1,1,"D",2.05,2.8,3.5,2,2.7,3.3,2.1,2.875,3.3,1.95,2.85,3.7
"292","SP2","10/02/02","Poli Ejido","Levante",1,0,"H",1,0,"H",2.15,2.8,3.25,2.2,2.8,2.8,2.2,2.75,3.25,2.2,2.8,3.1
"293","SP2","10/02/02","Elche","Sp Gijon",1,0,"H",0,0,"D",2.2,2.8,3.15,2.2,2.7,2.9,2.25,2.8,3.1,2.2,2.8,3.1
"294","SP2","10/02/02","Extremadura","Eibar",0,1,"A",0,1,"A",1.95,3,3.5,1.9,2.8,3.4,1.909,2.875,4,1.9,2.9,3.8
"295","SP2","10/02/02","Gimnastic","Leganes",0,1,"A",0,1,"A",2.15,2.8,3.25,2.1,2.7,3.1,2.1,2.8,3.4,2.15,2.75,3.25
"296","SP2","10/02/02","Murcia","Recreativo",2,0,"H",0,0,"D",2.65,2.8,2.5,2.6,2.7,2.4,2.75,2.75,2.5,2.7,2.7,2.55
"297","SP2","10/02/02","Xerez","Burgos",1,0,"H",1,0,"H",1.9,3,3.7,2,2.8,3.1,1.909,3,3.75,1.95,2.9,3.6
"298","SP2","16/02/02","Jaen","Burgos",0,0,"D",0,0,"D",2.4,2.8,2.75,2.4,2.6,2.7,2.4,2.8,2.8,2.4,2.75,2.8
"299","SP2","16/02/02","Leganes","Oviedo",1,3,"A",0,2,"A",2.52,2.75,2.68,2.5,2.6,2.6,2.4,2.8,2.8,2.6,2.7,2.65
"300","SP2","16/02/02","Levante","Gimnastic",2,2,"D",1,0,"H",2.12,2.85,3.22,2.1,2.7,3.1,2.2,2.8,3.2,2.2,2.7,3.2
"301","SP2","16/02/02","Recreativo","Ath Madrid",1,3,"A",0,2,"A",2.55,2.75,2.62,2.6,2.6,2.5,2.6,2.8,2.6,2.55,2.7,2.7
"302","SP2","17/02/02","Albacete","Xerez",3,0,"H",2,0,"H",2.35,2.8,2.82,2.4,2.6,2.7,2.25,2.8,3.1,2.4,2.7,2.9
"303","SP2","17/02/02","Badajoz","Elche",1,3,"A",1,0,"H",1.9,2.95,3.7,2,2.7,3.3,1.833,3,4,2,2.8,3.6
"304","SP2","17/02/02","Eibar","Santander",2,2,"D",1,1,"D",2.15,2.8,3.2,2.2,2.7,2.9,2.3,2.75,3.1,2.2,2.75,3.2
"305","SP2","17/02/02","Numancia","Cordoba",0,2,"A",0,1,"A",2.1,2.85,3.25,2,2.7,3.3,2,2.8,3.75,2,2.8,3.6
"306","SP2","17/02/02","Ferrol","Extremadura",2,0,"H",0,0,"D",2.1,2.8,3.3,2.1,2.7,3.1,2.1,2.8,3.4,2.1,2.8,3.3
"307","SP2","17/02/02","Salamanca","Poli Ejido",0,2,"A",0,1,"A",1.5,3.35,5.85,1.45,3.2,5.7,1.444,3.4,7,1.5,3.4,5.75
"308","SP2","17/02/02","Sp Gijon","Murcia",0,1,"A",0,1,"A",1.75,3,4.32,1.75,2.9,3.8,1.727,3.1,4.5,1.75,3,4.3
"309","SP2","23/02/02","Burgos","Eibar",0,0,"D",0,0,"D",2.2,2.8,3.25,2.1,2.7,3.1,2,2.875,3.6,2.05,2.85,3.4
"310","SP2","23/02/02","Poli Ejido","Recreativo",0,0,"D",0,0,"D",2.9,2.8,2.4,2.9,2.7,2.2,2.75,2.75,2.5,2.9,2.8,2.3
"311","SP2","24/02/02","Ath Madrid","Sp Gijon",0,1,"A",0,0,"D",1.45,3.5,6.85,1.45,3.3,5.5,1.533,3.25,6,1.45,3.4,6.5
"312","SP2","24/02/02","Cordoba","Albacete",3,1,"H",1,0,"H",2.4,2.7,3,2.3,2.7,2.7,2.3,2.7,3.1,2.3,2.7,3
"313","SP2","24/02/02","Elche","Numancia",1,1,"D",0,0,"D",1.95,2.8,4,1.9,2.7,3.6,1.8,3,4.333,1.8,3,4
"314","SP2","24/02/02","Extremadura","Leganes",2,1,"H",1,0,"H",2,2.9,3.5,2,2.8,3.1,2,2.875,3.6,2.1,2.85,3.2
"315","SP2","24/02/02","Gimnastic","Salamanca",2,2,"D",0,1,"A",2.55,2.7,2.8,2.3,2.7,2.7,2.375,2.8,2.875,2.3,2.75,2.95
"316","SP2","24/02/02","Murcia","Badajoz",1,1,"D",1,0,"H",2.35,2.8,2.95,2.2,2.7,2.9,2.25,2.8,3.1,2.2,2.8,3.1
"317","SP2","24/02/02","Oviedo","Levante",1,1,"D",0,1,"A",1.5,3.4,6.2,1.5,3.2,5,1.444,3.4,7,1.45,3.5,6.25
"318","SP2","24/02/02","Santander","Ferrol",0,1,"A",0,0,"D",1.6,3.2,5.5,1.6,2.9,4.7,1.615,3.1,5.5,1.65,3.25,4.5
"319","SP2","24/02/02","Xerez","Jaen",1,0,"H",0,0,"D",1.6,3.2,5.5,1.6,2.9,4.7,1.571,3.1,6,1.55,3,6.5
"320","SP2","02/03/02","Leganes","Santander",1,4,"A",0,2,"A",2.55,2.65,2.72,2.5,2.5,2.7,2.6,2.8,2.6,2.6,2.6,2.75
"321","SP2","02/03/02","Recreativo","Gimnastic",1,0,"H",0,0,"D",1.58,3.15,5.4,1.6,3,4.6,NA,NA,NA,NA,NA,NA
"322","SP2","03/03/02","Albacete","Elche",0,2,"A",0,0,"D",1.85,2.85,4.1,1.8,2.7,3.9,1.8,3,4.333,1.85,2.75,4.3
"323","SP2","03/03/02","Badajoz","Ath Madrid",0,1,"A",0,1,"A",3,2.95,2.15,3.3,2.7,2,2.875,3.1,2.2,3.5,2.85,2
"324","SP2","03/03/02","Cordoba","Xerez",0,0,"D",0,0,"D",2.55,2.7,2.68,2.55,2.6,2.55,2.5,2.875,2.625,2.7,2.75,2.5
"325","SP2","03/03/02","Eibar","Jaen",1,1,"D",1,0,"H",1.8,2.9,4.3,1.8,2.8,3.7,1.8,3,4,1.75,3,4.3
"326","SP2","03/03/02","Levante","Extremadura",1,0,"H",1,0,"H",2.45,2.7,2.8,2.5,2.6,2.6,2.375,2.7,3,2.5,2.65,2.8
"327","SP2","03/03/02","Numancia","Murcia",1,0,"H",1,0,"H",2.25,2.7,3.1,2.2,2.7,2.9,2.1,2.8,3.4,2.2,2.7,3.2
"328","SP2","03/03/02","Ferrol","Burgos",3,0,"H",1,0,"H",2.25,2.7,3.1,2.1,2.7,3.1,2.1,2.9,3.25,2.1,2.8,3.3
"329","SP2","03/03/02","Salamanca","Oviedo",3,0,"H",0,0,"D",2.52,2.7,2.7,2.5,2.6,2.6,2.5,2.7,2.8,2.5,2.65,2.8
"330","SP2","03/03/02","Sp Gijon","Poli Ejido",1,1,"D",1,1,"D",1.58,3.2,5.25,1.5,3,5.3,1.571,3.25,5.5,1.5,3.3,6
"331","SP2","09/03/02","Ath Madrid","Numancia",2,2,"D",1,0,"H",1.35,3.75,8,1.4,3.2,6.5,1.364,3.75,8,1.4,3.5,7.5
"332","SP2","10/03/02","Burgos","Leganes",0,0,"D",0,0,"D",1.85,3,3.85,1.9,2.7,3.6,1.8,3,4.333,2,2.7,3.75
"333","SP2","10/03/02","Poli Ejido","Badajoz",1,0,"H",0,0,"D",2.4,2.7,2.9,2.4,2.6,2.7,2.4,2.75,2.875,2.4,2.75,2.8
"334","SP2","10/03/02","Elche","Cordoba",2,3,"A",1,0,"H",1.85,3,3.85,2,2.7,3.3,1.909,2.875,4,2,2.7,3.75
"335","SP2","10/03/02","Extremadura","Salamanca",0,1,"A",0,0,"D",2.15,2.75,3.3,2.1,2.7,3.1,2,2.8,3.75,2.1,2.8,3.3
"336","SP2","10/03/02","Gimnastic","Sp Gijon",1,1,"D",1,1,"D",2.6,2.6,2.75,2.5,2.6,2.6,2.6,2.8,2.6,2.5,2.8,2.65
"337","SP2","10/03/02","Jaen","Ferrol",1,4,"A",0,1,"A",2.35,2.75,2.9,2.3,2.7,2.7,2.2,2.8,3.2,2.25,2.8,3
